"No.","Ticker","Market Cap","Dividend Yield","Return on Assets","Return on Equity","Return on Investment","Current Ratio","Quick Ratio","LT Debt/Equity","Total Debt/Equity","Gross Margin","Operating Margin","Profit Margin","Earnings Date","Price","Change","Volume"
1,"ACGL",38131.01,,10.22%,29.08%,21.77%,0.58,,0.14,0.14,,25.76%,34.15%,4/29/2024 4:30:00 PM,101.55,-0.68%,1367956
2,"AFL",49537.42,2.25%,4.14%,24.70%,17.00%,1.88,,0.34,0.34,,32.50%,27.67%,5/1/2024 4:30:00 PM,87.18,-0.09%,1509484
3,"AIG",51480.88,2.04%,1.03%,11.14%,7.35%,22.44,,0.50,0.51,,14.48%,9.77%,5/1/2024 4:30:00 PM,77.57,0.27%,3747909
4,"AIZ",8788.91,1.72%,2.89%,16.43%,10.93%,2.30,,0.42,0.42,,9.33%,6.73%,5/7/2024 4:30:00 PM,169.05,0.28%,624173
5,"AJG",53602.42,0.98%,2.06%,10.34%,5.56%,,,0.74,0.76,92.89%,19.03%,10.42%,4/25/2024 4:30:00 PM,245.32,-1.21%,481195
6,"ALL",43124.76,2.28%,1.45%,7.47%,4.69%,0.45,,0.39,0.43,,3.52%,2.08%,5/1/2024 4:30:00 PM,163.50,-0.71%,827852
7,"AMP",42506.97,1.35%,1.81%,69.36%,30.10%,,,1.13,1.17,54.00%,25.82%,18.83%,4/22/2024 4:30:00 PM,427.98,-1.61%,385013
8,"AON",59971.54,0.96%,6.89%,714.29%,15.76%,,,,,92.23%,30.19%,18.91%,4/26/2024 8:30:00 AM,275.82,-1.23%,1128628
9,"AXP",169711.64,1.17%,3.53%,32.61%,11.43%,,,1.70,1.76,61.90%,19.60%,12.77%,4/19/2024 8:30:00 AM,235.94,-0.55%,2708847
10,"BAC",302804.74,2.58%,0.77%,8.72%,4.03%,1.00,,0.98,2.30,,15.03%,12.74%,4/16/2024 8:30:00 AM,38.72,-1.53%,26664099
11,"BEN",11963.29,5.44%,2.78%,6.97%,3.33%,,,1.01,1.02,73.46%,16.41%,10.58%,4/29/2024 8:30:00 AM,22.74,-1.43%,3415470
12,"BK",43194.08,3.03%,0.80%,8.45%,4.38%,1.81,,0.80,1.66,,11.53%,8.83%,4/16/2024 8:30:00 AM,57.76,-0.82%,2873508
13,"BLK",112427.79,2.70%,4.82%,15.28%,14.26%,,,0.04,0.29,78.34%,38.73%,30.91%,4/12/2024 8:30:00 AM,756.58,-1.92%,574858
14,"BRK-B",871581.71,,7.10%,13.65%,10.62%,5.33,4.90,0.21,0.21,20.12%,13.94%,19.90%,5/6/2024 8:30:00 AM,404.09,0.05%,3426775
15,"BRO",24622.78,0.62%,6.49%,17.22%,10.20%,,,0.55,0.71,95.26%,30.28%,20.79%,4/22/2024 4:30:00 PM,86.32,-1.44%,1483972
16,"BX",140406.97,3.54%,5.33%,30.65%,11.62%,,,1.66,1.68,98.93%,48.67%,20.80%,4/18/2024 8:30:00 AM,116.13,-4.19%,4753837
17,"C",118280.35,3.47%,0.32%,3.76%,1.33%,1.49,,1.40,3.00,,7.37%,4.03%,4/12/2024 8:30:00 AM,62.01,-0.70%,7206859
18,"CB",106196.87,1.38%,4.73%,16.35%,12.39%,0.44,,0.24,0.32,,19.12%,17.94%,4/23/2024 4:30:00 PM,261.53,-0.42%,1329303
19,"CFG",15561.68,4.98%,0.65%,5.97%,3.70%,0.14,,0.49,0.58,,15.91%,10.47%,4/17/2024 8:30:00 AM,34.20,-1.33%,3803146
20,"CINF",17951.17,2.83%,7.56%,20.29%,17.58%,0.54,,0.07,0.07,,28.15%,22.16%,4/25/2024 4:30:00 PM,114.66,-0.93%,537020
21,"CMA",6557.90,5.77%,0.81%,11.47%,5.07%,0.23,,1.18,1.18,,17.66%,12.73%,4/18/2024 8:30:00 AM,49.46,-2.00%,1271311
22,"CME",74132.75,4.75%,2.15%,11.74%,10.45%,,,0.11,0.14,81.49%,61.89%,56.13%,4/24/2024 8:30:00 AM,205.89,-1.25%,2118672
23,"COF",51807.45,1.82%,1.07%,9.11%,4.55%,1.87,,0.86,0.87,,12.68%,9.61%,4/25/2024 4:30:00 PM,135.65,-0.71%,1615928
24,"DFS",30493.01,2.31%,1.58%,15.59%,6.52%,2.89,,1.30,1.39,,13.77%,10.20%,4/17/2024 4:30:00 PM,121.68,-0.11%,1159391
25,"EG",16631.71,1.90%,6.57%,25.20%,16.77%,0.48,,0.25,0.25,,17.60%,18.49%,4/29/2024 4:30:00 PM,382.69,-1.49%,228277
26,"FDS",15921.96,0.97%,12.24%,28.70%,14.07%,1.79,1.79,0.93,0.95,53.01%,33.05%,22.72%,3/21/2024 8:30:00 AM,417.68,-2.19%,313626
27,"FITB",24803.29,3.94%,1.09%,12.36%,6.17%,0.29,,0.84,1.01,,22.43%,16.40%,4/19/2024 8:30:00 AM,36.26,-1.15%,2960655
28,"GL",7600.28,1.09%,3.61%,22.54%,15.01%,0.62,,0.32,0.47,,24.60%,18.07%,4/22/2024 4:30:00 PM,82.37,-1.89%,1255915
29,"GS",147419.04,2.49%,0.58%,7.98%,2.60%,1.12,,1.84,5.60,,10.32%,7.50%,4/15/2024 8:30:00 AM,457.17,-0.57%,2312955
30,"HBAN",19521.40,4.70%,0.92%,9.29%,4.76%,0.11,,0.77,0.78,,19.30%,14.65%,4/19/2024 8:30:00 AM,13.47,-1.39%,10421420
31,"HIG",29501.06,1.89%,3.95%,18.26%,13.62%,0.31,,0.28,0.28,,14.19%,10.79%,4/25/2024 4:30:00 PM,99.75,-0.58%,1644428
32,"ICE",75685.20,1.37%,1.75%,10.04%,5.32%,,,0.78,0.85,70.51%,40.74%,24.83%,5/2/2024 8:30:00 AM,131.95,-1.29%,1471439
33,"IVZ",6810.43,5.42%,-0.35%,-0.67%,-1.45%,,,0.59,0.59,64.42%,14.94%,-5.84%,4/23/2024 8:30:00 AM,15.14,-2.01%,2262082
34,"JPM",568906.55,2.37%,1.28%,15.65%,6.31%,1.53,,1.29,2.39,,25.24%,19.18%,4/12/2024 8:30:00 AM,198.11,-0.70%,6114915
35,"KEY",13124.61,5.90%,0.45%,6.04%,2.07%,0.50,,1.43,1.63,,9.53%,6.91%,4/18/2024 8:30:00 AM,13.92,-1.90%,13504653
36,"L",16408.70,0.25%,1.93%,9.90%,6.16%,0.66,,0.52,0.62,,14.27%,9.30%,5/6/2024 8:30:00 AM,74.11,0.12%,789794
37,"MA",411328.96,0.59%,29.05%,188.42%,56.99%,1.09,1.09,1.87,2.16,96.80%,57.76%,46.05%,5/1/2024 8:30:00 AM,442.47,-0.59%,1876929
38,"MCO",73018.09,0.86%,11.32%,52.06%,16.64%,1.39,1.39,1.83,2.05,66.08%,39.44%,27.01%,5/2/2024 8:30:00 AM,399.88,-1.46%,656105
39,"MET",50091.29,3.06%,0.35%,7.79%,4.49%,3.91,,0.69,0.70,,5.93%,3.21%,5/1/2024 4:30:00 PM,70.44,-0.76%,1872331
40,"MKTX",7595.54,1.49%,14.46%,21.07%,19.50%,,,0.00,0.06,79.64%,41.14%,33.86%,5/7/2024 8:30:00 AM,200.41,-2.88%,444808
41,"MMC",99509.73,1.45%,9.57%,33.55%,14.90%,,,1.12,1.24,,26.05%,16.84%,4/18/2024 8:30:00 AM,201.96,-0.99%,1443954
42,"MS",158079.31,3.61%,0.78%,9.52%,2.41%,1.40,,2.75,3.88,,12.35%,8.98%,4/16/2024 8:30:00 AM,97.27,-1.42%,4679597
43,"MSCI",38797.20,1.28%,22.13%,,29.20%,1.00,1.00,,,76.52%,54.01%,44.55%,4/23/2024 8:30:00 AM,489.74,-1.20%,663462
44,"MTB",24306.28,3.63%,1.23%,9.76%,6.38%,0.60,,0.42,0.60,,25.20%,18.83%,4/15/2024 8:30:00 AM,145.66,-2.12%,657240
45,"NDAQ",34505.32,1.56%,3.89%,11.69%,4.73%,,,0.94,0.97,59.46%,29.39%,15.98%,4/25/2024 8:30:00 AM,59.85,-0.58%,2030600
46,"NTRS",16721.14,3.77%,0.64%,8.24%,4.94%,1.41,,0.56,1.36,,9.28%,7.31%,4/16/2024 8:30:00 AM,81.73,-0.43%,1255739
47,"PFG",18837.12,3.52%,0.46%,12.11%,8.57%,0.46,,0.35,0.36,,10.59%,8.70%,4/25/2024 4:30:00 PM,80.37,-0.92%,679095
48,"PGR",118984.95,1.44%,7.08%,29.92%,19.99%,0.75,,0.32,0.32,,11.63%,8.83%,5/6/2024 4:30:00 PM,203.15,-0.99%,3075842
49,"PNC",60148.08,4.18%,0.92%,10.37%,4.92%,0.20,,0.89,1.44,,19.57%,14.70%,4/16/2024 8:30:00 AM,151.16,-0.77%,1832917
50,"PRU",42178.91,4.43%,0.30%,7.30%,4.48%,3.10,,0.75,1.02,,5.39%,3.63%,4/30/2024 4:30:00 PM,117.49,-0.20%,1106924
51,"PYPL",63861.35,,5.41%,21.40%,14.04%,1.28,1.28,0.49,0.56,39.33%,16.97%,14.26%,4/30/2024 8:30:00 AM,61.05,-1.80%,8132436
52,"RF",17071.07,5.15%,1.18%,10.79%,8.50%,0.15,,0.20,0.25,,25.39%,18.74%,4/19/2024 8:30:00 AM,18.64,-2.20%,8225882
53,"RJF",25228.05,1.45%,2.21%,16.90%,11.91%,,,0.35,0.44,85.07%,17.46%,12.67%,4/24/2024 4:30:00 PM,121.71,-1.48%,627137
54,"SCHW",125351.56,1.45%,0.96%,12.26%,4.91%,,,1.09,1.30,74.45%,35.51%,17.05%,4/15/2024 8:30:00 AM,70.53,-0.37%,5617341
55,"SPGI",132969.98,0.86%,4.61%,8.00%,6.10%,0.92,0.92,0.35,0.36,58.55%,35.89%,22.01%,4/25/2024 8:30:00 AM,424.96,-1.40%,870757
56,"STT",22242.03,3.90%,0.59%,7.56%,3.88%,3.21,,0.81,1.43,,12.05%,9.16%,4/12/2024 8:30:00 AM,73.83,-0.11%,1760509
57,"SYF",17017.27,2.41%,2.56%,20.58%,10.12%,,,0.87,1.06,80.86%,23.82%,14.91%,4/24/2024 8:30:00 AM,42.38,-1.94%,4891691
58,"TFC",50125.22,5.60%,-0.27%,-2.43%,-1.78%,0.38,,0.69,1.13,,17.22%,-5.34%,4/22/2024 8:30:00 AM,37.46,-0.77%,6294496
59,"TROW",25737.56,4.28%,15.12%,20.09%,18.60%,,,0.04,0.04,80.51%,34.03%,28.34%,4/26/2024 8:30:00 AM,115.26,-0.92%,908071
60,"TRV",48103.93,1.98%,2.75%,12.96%,9.45%,0.34,,0.32,0.32,,9.79%,7.26%,4/17/2024 8:30:00 AM,210.07,-0.14%,1404772
61,"USB",60920.36,5.04%,0.74%,9.25%,4.31%,0.76,,0.95,1.26,,17.29%,11.34%,4/17/2024 8:30:00 AM,39.04,-1.84%,6229482
62,"V",537988.83,0.79%,20.22%,45.81%,29.64%,1.40,1.40,0.51,0.51,77.19%,67.36%,53.04%,4/23/2024 4:30:00 PM,268.86,-0.78%,5467755
63,"WFC",204821.30,2.51%,0.98%,10.37%,4.94%,0.54,,0.97,1.66,,18.46%,14.63%,4/12/2024 8:30:00 AM,58.75,-1.23%,12828491
64,"WRB",19928.70,1.88%,4.79%,20.77%,14.14%,0.40,,0.39,0.39,,16.70%,12.23%,4/23/2024 8:30:00 AM,77.95,-0.79%,1292666
65,"WTW",25527.28,1.40%,3.35%,10.64%,6.78%,,,0.62,0.70,75.87%,19.82%,10.88%,4/25/2024 8:30:00 AM,249.68,-0.38%,365455
